발화문,상황
그런 영상도 있어? 즐거운 건가? 한 번 추천해 줘 봐.,angry
나 아무래도 혼자 갇힌 것 같아.,fear
우리 집 빼고 온통 다 물바다가 되어 있어.,fear
"아니, 자고 있었는데 비가 그렇게 많이 오는지 몰랐지. 재난 문자도 못 받고 그냥 자고 있었던 거야.",fear
내 휴가가 엉망진창이 되었어.,angry
휴가 첫날부터 하루종일 비가 와.,angry
비가 오지 않으면 바다 갈려고 했었다고.,angry
회사가 정말 바빠서 1년만에 낸 거야.,angry
아무래도 영화를 봐야될 거 같애.,angry
내일 친구를 만나기로 했는데 뭘 먹을지 모르겠어.,neutral
친구랑 분위기 잡고 양식을 먹고 싶어.,neutral
너가 추천한 곳이니까 믿고 가서 먹어볼게. 고마워.,neutral
화장실에 곰팡이는 청소를 해도 없어지지 않아.,angry
장마철이라서 곰팡이가 자꾸 생겨서 신경이 쓰여.,angry
곰팡이 제거제가 효과가 있을까?,angry
"아니, 요즘 다 왜 이러는 거지? 정말 이해가 안돼.",angry
사과 영상을 보고 나니까 너무 화가 나. 내 화를 잠재워 줄 수 있는 영상이 있어?,angry
내 휴가가 엉망이야.,angry
일이 바쁘고 많아서 1년만에 받은 휴가인데 비가 와서 아무데도 갈 수가 없어.,angry
쓰레기통에서 역겨운 냄새가 나.,disgust
냄새가 너무 고약해서 버리려고 밖에 빼놨어.,disgust
방향제로 처리하는게 가장 좋을 거 같아.,disgust
쓰레기통에서 역겨운 냄새가 나고 있어.,disgust
나도 몰랐어. 음식물 쓰레기를 내가 버렸는데 그걸 제대로 안 치웠나봐.,disgust
방향제? 근데 안 좋은 냄새에다가 더하면 더 독하지 않나?,disgust
나 갇히게 된 거 같아서 무서워!,fear
아니야. 이제라도 발견해서 다행이지. 안 그랬으면 벌레 생겼을걸?,disgust
내가 잠을 자는 동안에 비가 엄청 많이 와서 우리 동네가 고립되면서 갇히게 됐어!,fear
"아, 내 휴가가 엉망이야!",angry
"아니, 태풍 때문에 지금 나가지도 못하고 여행도 못 가게 생겼어!",angry
아직까지는 집 안에 물이 들어오지 않아서 괜찮아.,fear
그것도 나쁘지 않은데 나 진짜 나가고 싶었단 말이야.,angry
화장실은 청소를 해도 곰팡이가 없어지질 않아.,angry
"아, 알지. 나도 그런거. 아는데 지금 너무 기분이 안 좋아!",angry
진짜 너무 스트레스 받아 죽겠어. 어떡해야 되지?,angry
"아, 짜증나! 그 새끼 일 끝났으면 빨리 집에나 갈 것이지. 남아가지고 나한테 뭐라고 해.",angry
나 오늘 짭새 새끼들이 몰려 있길래 궁금해서 구경 다녀 왔어.,neutral
구경 나온 사람들이 너무 많아서 앞을 볼 수가 없었어.,neutral
너무나 궁금했는데 앞에 사람들이 많아서 정확하게 무슨 이유인지 모르겠어.,neutral
너가 내일 날씨를 알려줬으니까 집에서 나갈 때 우산 가지고 가면 감기에 안 걸릴 거야. 건강은 괜찮아.,neutral
나 우리집에 갇혔어.,fear
"아, 지금 밖에 비가 엄청 오는데 우리집이 지대가 좀 낮거든? 그래서 홍수 때문에 이렇게 됐어.",fear
짭새들이 왜 몰려 있는지 잘 모르겠어.,neutral
거기서 30분 정도 구경 했는데 사람들이 너무 많아서 알 수가 없어서 집에 왔어.,neutral
"아, 짜증나. 그 새끼는 할일이 없으면 집에나 갈 것이지. 늦게까지 결혼 못 한 히스테리를 나한테 푸는 건가? 왜 항상 나한테만 그럴까?",angry
"아, 보는 것도 아니고 너무 답답해 죽겠으니까 그러지!",angry
내일 친구랑 만나기로 약속했는데 뭘 먹어야 될 지 잘 모르겠어.,neutral
내일 친구 만나는데 뭘 먹을지 모르겠어.,neutral
강남역에서 만나기로 했어.,neutral
정말 요즘 왜들 그러는 거야? 이해할 수가 없어!,angry
일식 먹고 싶은 기분이네요.,neutral
유명한 유튜버들이 다들 돈 받고 뒷광고 하고 있었어.,angry
맞아. 정말 실망스럽고 피해 본 사람들이 많아.,angry
그런 영상도 있어? 나 보고 싶다.,angry
좋은데요? 어딘지 알려주세요.,neutral
우리 집 주변이 다 온통 물바다야. 빠져나갈 수가 없다고.,fear
여기서 가깝다니 좋네요. 주소 알려주세요.,neutral
그렇다니깐. 온통 사방이 다 물바다야.,fear
다행히 우리 집까진 들어오지 않았어.,fear
휴가 첫날부터 밖에서 하루종일 비가 오고 있어.,angry
동해 바다 놀러가려고 했었지.,angry
난 게임보다는 영화보는 걸 더 즐거워 해.,angry
나 갇힌 것 같아.,fear
내 휴가가 엉망이야!,angry
휴가인데 밖에 비가 와서.,angry
바닷가 가서 놀기로 했는데.,angry
그런 것 같아.,fear
일 년 정도 된 거 같애요. 코로나도 계속.,angry
네. 드라마나 봐야겠어요.,angry
내일 친구를 만나야 하는데 뭘 먹어야 할지를 모르겠어.,neutral
"음, 서울에서 만날 거 같은데?",neutral
일식이 더 좋을 거 같애.,neutral
"오, 좋지. 어딘데?",neutral
"오, 좋은데? 고마워.",neutral
내가 미리미리 화장실 쓰레기를 버리질 않아서 그래.,disgust
알았어. 화내지 마. 그렇게 할게.,disgust
방향제 썼다가 냄새랑 뒤섞일까봐 무서워서 못 썼어.,disgust
알았어. 힘 낼게. 하지만 내가 잘못한거니깐.,disgust
짭새가 몰려와서 구경 갔다 왔어!,neutral
그러니까. 그게 궁금해서 갔더니 못 오게 하잖아!,neutral
치사하고 더러워서 그냥 와버렸어.,neutral
우리 동네 짭새가 몰려왔어!,neutral
그래서 궁금해서 구경 갔다가 더럽고 치사해서 그냥 왔어!,neutral
그런 건 아니야. 하지만 왜 몰려왔는지 궁금해 죽겠어!,neutral
짭새가 몰려와서 구경 갔다 왔어.,neutral
짭새 구경 갔다가 우산도 놓고 왔어.,neutral
난 괜찮아. 하지만 환절기라서 비염기가 좀 있네.,neutral
나 내일 친구를 만나기로 했는데 뭘 먹어야 할지 모르겠어.,neutral
친구를 강남역에서 만나기로 했어.,neutral
오랜만에 친구랑 양식을 먹고 싶어.,neutral
애피타이저부터 푸짐하게 주는 집 정말 좋을 거 같아.,neutral
내 휴가가 엉망이야.,angry
엉망이야.,angry
그럼. 그렇게 한 번 해보는게 좋겠다.,angry
화장실 청소는 해도해도 끝이 없어!,angry
그래서 그런가 하루종일 화장실 청소만 하는 것 같아.,angry
그렇게 좋다면 나도 써봐야지.,angry
나도 궁금해서 구경 갔다 왔지.,neutral
짭새가 몰려와서 구경 갔다 왔어!,neutral
우리 동네 짭새가 몰려와서 시끄러워 죽는 줄 알았어.,neutral
나도 그게 궁금해서 구경 갔다가 구경도 못하고 쫓겨났어!,neutral
케이트를 쳐놓고 근처에도 못 오게 하더라고?,neutral
그 새끼는 또라이라서 욕 처먹어도 괜찮아.,angry
난 음악 안 좋아해. 너나 들어라!,angry
쓰레기통에서 역겨운 냄새가 나기 시작했어!,disgust
내가 청소를 잘 안해서 그래.,disgust
알았어. 지금이라도 바로 묶어서 버릴게.,disgust
다음부턴 빨리빨리 치워야지.,disgust
어떻게 하지?,angry
친구를 만나는데 뭘 먹어야될지 모르겠어.,neutral
강남역 주변에서 만나.,neutral
요즘 다들 왜 그러는 거지? 이해가 안 가.,angry
진짜 너무너무 실망이야.,angry
너무 좋다! 고마워.,angry
역겨운 냄새가 나고 있어.,disgust
모르겠어. 무슨 일이지?,disgust
빨리 버려야 될 거 같애.,disgust
그래. 빨리 처리해야겠어.,disgust
뭐 어때.,angry
우산이 없다.,neutral
좋은 편이다.,neutral
짭새가 몰려 있어서 구경 다녀 왔어.,neutral
내일 친구를 만나기로 했는데 뭘 먹어야 할지 모르겠어.,neutral
친구랑 일식을 먹고 싶어.,neutral
화장실은 청소를 해도 곰팡이가 안 없어져.,angry
그래서 매일 청소를 하고 있는데 곰팡이가 없어지질 않아.,angry
장마철이라서 곰팡이가 많이 생기니까 너무 신경이 쓰여.,angry
"아니, 요즘 다 왜 이러는 거야? 정말 이해가 안돼.",angry
내가 좋아하는 유튜버가 있는데 뒷광고를 했다고 사과하는 영상을 올렸어.,angry
사과 영상을 봤는데 자기 변명만 하고 있어서 더 화가 났어.,angry
화가 나는 내 마음을 달래줄 영상이 있어?,angry
내 휴가가 엉망이야!,angry
오늘부터 일주일동안 휴가 기간인데 계속 비가 온대.,angry
오랜만에 가족들이랑 동해 바다에 가서 놀다 오기로 했어. 그런데 망했어.,angry
일이 바빠서 일년만에 받은 휴가인데 비가 와서 아무데도 갈 수가 없어.,angry
계속 비 소식이 있으니까 아무래도 너의 말대로 집에서 휴가를 즐길 수 있는 방법을 찾아봐야겠어.,angry
쓰레기통에서 역겨운 냄새가 나고 있어!,disgust
너무 냄새가 독해서 지금 버리려고 밖에 빼놨어.,disgust
냄새를 방향제로 처리하는게 나을 거야.,disgust
나 갇히게 된 것 같아서 너무 무서워!,fear
나 혼자 집 안에 갇히게 됐어. 어떻게 해?,fear
내가 잠을 자는 동안에 비가 엄청 많이 와서 우리 동네가 고립됐어. 그래서 갇히게 됐어!,fear
집 주변까지 물이 차올라서 아예 밖으로 나갈 수가 없어.,fear
아직까지는 집 안으로 물이 들어오지 않아서 괜찮아.,fear
그래. 그냥 음악이나 들으면서 기분 풀어야겠어. 신나는 음악이 좋아.,angry
그냥 음악이나 들으면서 기분을 풀어야겠어. 나는 신나는 음악이 좋아.,angry
나 오늘 짭새 새끼들이 몰려 있길래 궁금해서 구경 다녀 왔어.,neutral
구경하는 사람들이 너무 많아서 무슨 일인지 알 수가 없었어.,neutral
사람들이 너무 많이 몰려 있어서 무슨 일인지 정확하게 알 수가 없었어.,neutral
나 오늘 짭새 새끼들이 몰려 있길래 궁금해서 구경 다녀 왔어.,neutral
내일 비 소식이 있는 거야? 사무실에 우산 없는데.,neutral
너가 내일 날씨를 알려줬으니까 집에서 나올 때 우산 가지고 나올게. 건강은 괜찮아.,neutral
나 오늘 짭새 새끼들이 몰려 있길래 궁금해서 구경 다녀 왔어.,neutral
구경하는 사람들이 너무 많아서 볼 수가 없었어.,neutral
거기서 30분 정도 구경을 했는데 사람들이 너무 많아서 볼 수가 없어서 집에 와버렸어.,neutral
잘 모르겠던데. 초등학교 앞에 모여 있던데?,neutral
초등학교 앞인데 설마 그럴리가.,neutral
요즘 장마잖아. 매일 챙겨 다녀.,neutral
장마라서 조금 우울한 거 빼고는 괜찮아.,neutral
그런 걸로 그러냐. 잘 모르겠는데? 그냥 저기 차 앞에 몰려 있던데?,neutral
"알았어, 알았어. 알았어, 알았어. 앞으로 그렇게 할게. 음, 한 5분?",neutral
내일 친구 만나는데 뭘 먹어야할지 모르겠어.,neutral
만나기로 했어.,neutral
난 양식이 좀 더 좋아.,neutral
빵 많이 주면 진짜 좋아.,neutral
고마워. 내가 가보고 알려줄게.,neutral
요새 유튜버들 뒷광고 장난 아니야! 진짜 걔네 왜 그러냐?,angry
실망도 실망인데 그냥 지금 너무 짜증나 죽겠어! 걔네 날 속이고 있다는 거잖아!,angry
그런 것도 있냐? 어떤 건데?,angry
집에 물도 안 들어왔는데 그냥 무서워 죽겠어.,fear
내 휴가가 엉망이야!,angry
간신히 낸 휴간데 지금 장마 때문에 가지도 못해!,angry
나쁘진 않은데 그냥 난 좀 나가고 싶었어! 휴가를 못 간지 엄청 오래 됐으니까!,angry
화장실은 청소를 해도 곰팡이가 없어지질 않아.,angry
니 말이 맞긴 한데 그래도 너무 화가 나!,angry
곰팡이 제거제? 그런 것도 있어?,angry
아 진짜? 그러면 한 번 구매해 볼까?,angry
쓰레기통에서 역겨운 냄새가 나고 있어!,disgust
쓰레기를 넣어놨는데 깜빡하고 안 버려서 그래.,disgust
나쁘지 않은데 나 집에 방향제가 없어.,disgust
짜증나. 그 새끼는 할 일이 없으면 집에나 갈 것이지! 늦게까지 결혼 못한 히스테리를 나한테 푸는 건가? 왜 항상 나한테만 그럴까?,angry
짜증이 났으면 욕까지 하겠어! 넌 날 좀 이해해봐!,angry
너무 많은 강남역에서 만나기로 했어.,neutral
난 애피타이저 많이 주는 집 더 좋아해.,neutral
리뷰가 좋다면 완전 대박난 집인가본데?,neutral
사과는 진정성이 없어.,angry
그런 영상이 있어? 재밌을 것 같은데.,angry
일어나 보니 우리집 주위가 다 물바다가 되어있어.,fear
새벽에 비가 그렇게 많이 오는지도 모르고 잠만 자고 있었어.,fear
우리 집은 괜찮아.,fear
휴가가 엉망이 되었어.,angry
휴가 첫 날 부터 비가 오기 시작해.,angry
난 영화보고싶어.,angry
너무 좋지. 우리는 양이 적으면 화가나. 양이 푸짐해야돼.,neutral
추천해주면 우리는 고맙지. 일일이 돌아다니지 않아도 되고.,neutral
아니 요즘은 다들 왜그러지? 이해가 안가네.,angry
투버들이 사람들을 속이며 뒷광고를 하고 있어.,angry
정말 실망스러워. 앞으로는 더 이상 믿을 수가 없을 것 같아.,angry
사과도 믿을 수가 없어. 또 언제 사람들을 속일지 몰라.,angry
갇힌 것 같아.,fear
다행히 안으로는 물이 안들어와서 괜찮아.,fear
내 휴가가 엉망이야.,angry
휴가를 냈는데 태풍에 장마가 겹쳐서 나갈 수가 없어.,angry
여름 바다에 가서 수영도 하고 튜브 타고 물놀이도 할려고. 맛있는 것도 먹고.,angry
일년만에 휴가야. 그동안 무지 바빠서 쉴 시간도 없었거든.,angry
집에서 쉬면서 그동안 못봤던 영화나 실컷 봐야겠어.,angry
화장실은 청소를 해도 곰팡이가 없어지지 않아.,angry
그러니까 비는 왜 그렇게 오는 거야 더 습해지게.,angry
그게 좋겠어 안 그래도 써야지 했거든.,angry
구매해야 되겠어 좋은 거 있으면 추천 좀 해 줘.,angry
쓰레기 버릴 때 음식물이 섞여 들어간 것 같아.,disgust
그러니까 얼른 버려야겠어 냄새가 너무 심해.,disgust
나 냄새가 심하니까 더 깨끗이 치우다 보니까 더 힘들어 졌어.,disgust
나 오늘 짭새가 몰려 있길래 구경 다녀왔어.,neutral
누군가 싸우는 지 사람들이 많아.,neutral
"그래 알았어 다음부터는 경찰이라고 할게 구경은 많이 못 했어,",neutral
비 맞을 일은 없어 건강은 아주 좋아 걱정 안 해.,neutral
"나 오늘 짭새가 몰려 있길래 궁금해서 구경 다녀 왔어,	",neutral
그런 것 같아 무서워서 못 보겠어.,neutral
지금은 나갈 수 없는 거 같아요.,fear
몸은 괜찮은데 물도 아직 안 들어왔어요.,fear
유튜버들이 광고를 올리는 거야.,angry
"네, 부탁드려요 기분이 좀 그러네요.	",angry
맞아 우리 집 화장실은 환기구가 없어.,angry
장마철이라서 더 그런 것 같아 하루 종일 화장실 청소만 하는 기분이야.,angry
그 생각까지는 못 했네 그런 것도 있었어?,angry
당연히 구매해야지 좋은 제품 있으면 좀 알려 줘.,angry
"나도 궁금해서 쫓아 갔었는데 결국엔 못 봤어,	",neutral
그런 거 같진 않고 그냥 바리케이트가 쳐져 있길래 돌아왔어.,neutral
짭새가 우리 동네 엄청 몰려 왔었어.,neutral
아휴 짭새 구경 갔다가 우산도 잃어버리고 왔어.,neutral
환절기라서 비염이 심해졌어 아침마다 괴로워.,neutral
거 봐 너도 짭새가 왜 왔는지 궁금하지? 그래서 구경 갔었어.,neutral
근처도 못 갔어 경찰 놈들이 바리케이트를  쳐 놨더라고.,neutral
난 음악 안 좋아해 하지만 한 번 들어 볼게.,angry
어 진짜 진짜 신경 써 줘서 고마워.,neutral
쓰레기통에서 정말 역겨운 냄새가 나기 시작했어.,disgust
내가 쓰레기를 제 때 안 버려서 그래.,disgust
알았어 그런 표정 짓지 마 바로 버릴게.,disgust
방향제 냄새랑 쓰레기 냄새랑 섞이면 이상하지 않을까?,disgust
다음부터는 제때 제때 버려야 되겠어.,disgust
유튜버들 뒷광고 말이야.,angry
그거 너무 좋은 일인데?,angry
환기가 안 돼서 그러는 걸까?,angry
그래 그러는 게 아무래도 좋겠지?,disgust
그게 낫겠어 정말.,disgust
응 그건 뭐 할 수 없지 안 들리는데.,angry
구경은 한 10분 했어.,neutral
짭새가 몰려 있길래 구경 다녀왔어.,neutral
우산은 없는데 어쩌지?,neutral
강남역에서 만나기로 했는데 뭘 먹을까?,neutral
나는 친구랑 분위기 있게 양식을 먹고 싶어.,neutral
에피타이저부터 푸짐하게 주는 집 정말 좋아.,neutral
너가 추천한 곳이니까 정말 맛있을 거 같아 친구랑 같이 잘 먹고 올게.,neutral
신경 쓰고 청소를 하는데 곰팡이가 안 없어져.,angry
장마철이라서 습기가 많아서 곰팡이가 생기니까 자꾸 신경이 쓰여.,angry
곰팡이 제거제가 효과가 있을까?,angry
곰팡이 제거제가 효과가 있다고 하니까 나 구매해서 사용해 볼래.,angry
아니 요즘 다 왜 이러는 거야 이해가 안 돼.,angry
내가 좋아하는 유튜버가 있는데 뒷광고를 했다고 사과 하는 영상을 올렸어.,angry
사과 영상을 봤는데 사과라기 보다는 자기 변명만 하고 있어서 너무 화가 났어.,angry
기분 전환용 영상이 어떤건데?,angry
내 휴가가 엉망이야.,angry
"내가 이번주부터 일주일동안 휴가 기간인데, 계속 비가 온대.",angry
일이 너무 많고 바빠서 일년만에 받은 휴가인데 비가 와서 망했어.,angry
휴가 기간 내내 비소식이 있으니깐 너의 말대로 해볼께.,angry
쓰레기통에서 역겨운 냄새가 나고있어.,disgust
너무 냄새가 심하고 날파리가 꼬여서 밖에다 내놨어.,disgust
방향제로 처리하면 냄새가 덜 날 것 같아.,disgust
힘들어도 방이 지저분해지니까 얼른 치워야지.,disgust
나 갇히게 된 것 같아. 무서워.,fear
아무래도 나 혼자 집 안에 갇히게 된 것 같아.,fear
내가 잠을 자는 동안에 비가 너무 많이 와서 우리 동네가 고립됐어. 그러면서 갇히게 됐어.,fear
집 주변까지 물이 차올라서 밖으로 나갈 수가 없어.,fear
아직까지는 집 안으로 물이 들어오지 않아서 괜찮아.,fear
아 짜증 나! 그새끼 일 끝났으면 집에나 가지. 남아가지고 나한테 자꾸 뭐라고 해.,angry
네가 안당해봐서 몰라. 자꾸 나한테 짜증내고 화를 내는데 참을 수가 없어.,angry
그래 기분이 안좋은데 음악 들으면서 풀어야겠어. 나는 신나는 음악이 좋아.,angry
나 오늘 짭새들이 몰려있길래 궁금해서 구경 다녀왔어.,neutral
사람들이 너무 많아서 무슨 일이 있는지 알 수가 없었어.,neutral
구경 온 사람들이 너무 많아서 앞에를 볼 수가 없어서 무슨 일인지 알 수가 없었어.,neutral
나 오늘 짭새 새끼들이 몰려 있길래 궁금해서 구경 다녀왔어.,neutral
내일 비소식이 있대? 비가 많이 온대? 사무실에 우산은 없어.,neutral
네가 날씨를 알려줬으니까 내일 집에서 나올 때 우산 가지고 나올께. 요새 건강은 괜찮아.,neutral
나 오늘 짭새 새끼들이 몰려 있길래 궁금해서 구경 다녀왔어.,neutral
사람들이 구경을 너무 많이 하고 있어서 앞이 잘 보이지 않아서 왜 몰려있는지 모르겠어.,neutral
30분 정도 구경을 했는데 무슨 일인지 알 수가 없어서 집으로 돌아왔어.,neutral
내일 친구랑 만나는데 뭘 먹어야 될지 고민이야.,neutral
난 양식 좋아하는데 내 친구는 일식 좋아하는 것 같애.,neutral
에피타이저 푸짐하게 주면 너무 좋지.,neutral
좋은데 리뷰도 좋으면 정말 기막힌 집 같은데?,neutral
아니 요즘 왜들 그러는거야!,angry
유명한 유튜버들이 다들 뒷광고를 하고 있었던거야.,angry
그래놓고는 사과는 안하려고 발뺌하더라고!,angry
그럼. 얼마나 실망스러웠는지. 사과는 진중하지도 않게 하더라고.,angry
기분 전환해주는 영상도 있어? 궁금하다.,angry
나 아무래도 혼자 갇힌 것 같아.,fear
잘 모르겠어. 자고 일어났더니 주변이 다 물바다인거야.,fear
집에 나 혼자 있어. 주위에 사람들은 다 피신한 것 같아.,fear
그래 나갈 수가 없어.,fear
다행히 집 안까지 물이 들어오지는 않았어.,fear
내 휴가가 엉망진창이 되었어.,angry
휴가 첫 날 부터 엄청 비가 오기 시작했어.,angry
여름휴가는 여름 바다를 가야지.,angry
회사가 진짜 바빠서 1년만에 낸거였어.,angry
난 아무래도 영화를 보는 게 나을 것 같아. 내가 좋아하기도 하고.,angry
나 오늘 짭새가 몰려 있길래 궁금해서 구경 다녀왔어.,neutral
짭새라는 표현은 좀 그런가? 여튼 나도 잘 모르겠어. 그냥 초등학교 옆에 몰려 있던데?,neutral
알았어 다음부터 조심할께. 구경은 얼마 안했어. 한 1분 2분?,neutral
우리집 화장실은 청소를 해도 곰팡이가 사라지질 않아.,angry
맞아 우리 집 화장실은 환기구가 없어.,angry
장마철이라서 그런가 하루 종일 화장실 청소만 하는 것 같아.,angry
곰팡이 제거제 쓰면 괜찮나? 한번도 그런 생각을 해본 적이 없었어.,angry
지금보다 훨씬 나아지면 당연히 써야지!,angry
아 짜증나는 상사새끼 집에는 안가! 왜 내 옆에 붙어서 지랄이지?,angry
저런 놈은 욕을 해 줘야 된다고. 일부러 저러는 거 같아! 미친거지.,angry
난 욕을 하는게 더 기분이 풀린다고. 그리고 음악은 네가 알아서 선택해 줘.,angry
나 갇힌 것 같아.,fear
궁금해서 쫓아가 봤지.,neutral
치사하게 바리케이트를 치더라고. 그래서 그냥 돌아왔어.,neutral
나 오늘 짭새가 몰려왔길래 궁금해서 구경 갔다 왔어.,neutral
짭새 구경 갔다가 우산도 잃어버리고 그냥 왔잖아.,neutral
환절기라서 비염이 좀 심해졌어.,neutral
"했는데, 뭘 먹어야 될지 잘 모르겠어.",neutral
강남역 주변에서 만나기로 했어.,neutral
꼭 이야기해 줄께 양식.,neutral
나 오늘 짭새가 몰려왔길래 구경 갔다 왔어.,neutral
그러니깐 나도 궁금해서 쫓아가 봤어.,neutral
그렇게 심각한 분위기는 아니었어. 하지만 바리케이트를 치는 바람에 구경도 못하고 돌아왔어.,neutral
그렇게 푸짐하게 주는 집이면 정말 좋지.,neutral
내 휴가가 엉망이야.,angry
퇴근한지 얼마나 됐다고 회사에서 또 연락이 왔어.,neutral
과장님이 그래. 계속 나한테만 일감을 몰아주고 있는 거야.,neutral
그렇다고 그만 두고 나갈 수도 없잖아. 일자리도 구하기 힘든데.,neutral
다들 자기들 일하기에만 바빠. 내 얘기는 들어 주지 않아.,neutral
내일 친구를 만나기로 했는데 뭘 먹어야 할지 모르겠어.,neutral
강남역에서 친구를 만나기로 했어.,neutral
오랜만에 친구랑 일식을 먹고싶어.,neutral
에피타이저부터 푸짐하게 주는 집 정말 좋아.,neutral
네가 추천 한 곳이니까 믿고 가서 먹을게.,neutral
난 양식이 좋은데 내 친구는 뭘 좋아하는지 모르겠어.,neutral
화장실은 청소를 해도 곰팡이가 없어지지 않아.,angry
곰팡이 제거제가 효과가 있대?,angry
아니 요즘 다 왜 이러는 거야? 이해가 안 돼!,angry
곰팡이 제거제가 효과가 있다고 하니까 나 구매 해 볼래.,angry
나는 그 유튜버를 믿었는데 뒷광고를 했다고 하니까 너무 배신감이 느껴져.,angry
사과 영상을 봤는데 사과라기 보다는 자기 변명만 하고 있었어. 더 화가 나.,angry
내 휴가가 엉망이야.,angry
기분전환용 영상이 어떤 건데?,angry
오늘부터 일주일 동안 휴가 기간인데 계속 비가 온대.,angry
오랜만에 가족들이랑 서해 바다에 가서 놀다 오기로 했어.,angry
내 휴가가 엉망이야.,angry
오늘부터 일주일 간 휴가 기간인데 휴가 기간 내내 비가 온대.,angry
오랜만에 가족들이랑 동해 바다에 가서 놀다 오기로 했어.,angry
일이 많고 바빠서 일 년 만에 가는 휴가인데 비가 와서 망했어.,angry
휴가 기간 내내 비소식이 있으니깐 너의 말대로 해봐야겠어.,angry
청소를 열심히 하는데 곰팡이가 안 없어져.,angry
곰팡이 제거제가 효과가 있대?,angry
곰팡이 제거제가 효과가 있다고 하니까 나 구매 해 볼래.,angry
쓰레기통에서 역겨운 냄새가 나고 있어.,disgust
내가 버린 음식물 쓰레기가 상해서 나는 냄새였어.,disgust
냄새가 너무 심해서 지금 밖에다 내놨어.,disgust
냄새는 방향제로 처리하는 게 가장 좋을 거 같아.,disgust
집에서 냄새가 나고 날파리가 꼬이니까 얼른 청소 해야지.,disgust
나 갇히게 된 거 같아서 무서워.,fear
나 혼자 집 안에 갇혔어.,fear
내가 잠을 자는 동안 비가 엄청 많이 내려서 우리 동네가 고립되면서 갇히게 되었어.,fear
집 주변까지 물이 차올라서 밖으로 나갈 수가 없어.,fear
아직까지는 집 안으로 물이 들어오지 않아서 정말 다행이야.,fear
아 짜증 나! 그새끼 일 끝났으면 빨리 집에나 갈 것이지. 남아가지고 나한테 뭐라고 해.,angry
너가 안 당해봐서 몰라. 자꾸 나한테만 뭐라 하고 짜증 내는데 너무 화가 나서 그랬어.,angry
음악이나 들으면서 기분 좀 풀어야겠어. 나는 잔잔 한 음악이 좋아.,angry
나 오늘 짭새 새끼들이 몰려 있길래 궁금해서 구경 다녀왔어.,neutral
구경하는 사람이 너무 많아서 정확하게 잘 보이지 않았어.,neutral
30분 정도 구경을 했는데 사람들이 너무 많아서 그냥 집에 왔어.,neutral
나 오늘 짭새 새끼들이 몰려 있길래 궁금해서 구경 다녀왔어.,neutral
내일 비가 온대? 비가 많이 온대?,neutral
네가 내일 날씨를 알려 줬으니까 내일 우산 가지고 나오면 비 안 맞을 거야.,neutral
나 오늘 짭새 새끼들이 몰려 있길래 궁금해서 구경 다녀왔어.,neutral
구경 온 사람들이 너무 많아서 앞을 볼 수가 없었어.,neutral
정확한 거는 모르는데 싸움이 나서 짭새들이 말리러 왔대.,neutral
퇴근한지 얼마나 됐다고 회사에서 또 전화왔어.,neutral
과장님이 전화해서 새로운 업무를 주겠대.,neutral
다른 사람들은 일이 많지 않은데 나만 일이 너무 많으니까 너무 힘들어서 못 버틸 거 같아.,neutral
회사 안에 내 마음을 털어놓고 이야기할 사람이 없어.,neutral
알았어. 너한테 이야기하고 나니까 마음이 좀 편해졌어.,neutral
"좀 먼데, 강남역에서 만나려구요.",neutral
오랜만에 양식 먹을까 해요.,neutral
어 좋은 거 같은데요? 알려주세요.,neutral
감사해요. 잘됐어요.,neutral
내 휴가가 엉망이야.,angry
요즘 비가 너무 많이 와서 휴가 못 갈 거 같아요.,angry
바닷가 갈려고 했어요. 제주도로.,angry
한 1년 만인 거 같아요. 요즘 코로나 때문에.,angry
그냥 계속 잘까 봐요.,angry
그래. 추천해 줘. 그거 보고 기분이나 전환하게.,angry
내일 친구를 만나. 밥 먹기로 했는데 뭘 먹어야 될지 고민이야.,neutral
에피타이저 푸짐하게 주면 정말 좋지.,neutral
나 갇힌 것 같아.,fear
평점과 리뷰가 좋으면 정말 끝내주는데?,neutral
집 안에 갇혀있어. 밖에 물이 엄청 차올라있어.,fear
전화가 여러 번 왔는데도 모르고 잠이 들었어.,fear
나갈 수가 없어. 문도 안 열리고 물이 너무 많이 차올랐어.,fear
다행히 집 안으로 물이 안 차서 괜찮아. ,fear
내 휴가가 엉망이야.,angry
휴가를 냈는데 장마에 태풍이 겹쳐가지고 나갈 수가 없어.,angry
여름 바다에 가서 수영도 하고 물놀이도 하고 썬텐도 할려고 했지.,angry
그동안 쉬지도 못하고 1년만에 휴가를 냈거든.,angry
그래야겠지. 쉬면서 영화나 실컷 봐야겠어.,angry
유명한 유튜버들이 다들 뒷광고하고 있었어.,angry
잘 때 비가 그렇게 많이 왔대. 난 그것도 모르고 잠만 잤잖아.,fear
우리 집 안으로 물은 들어오지 않았어. 그래서 나도 아직은 괜찮아.,fear
내 휴가가 엉망진창이 되었어.,angry
그런 것 같아. 환기도 안 되고 너무 습하니까 이사 가고 싶어.,angry
그러니까. 비는 왜 그렇게 많이 오는 거야.,angry
그래야 할 것 같아. 너무 곰팡이 냄새가 심해.,angry
구매하고 싶어. 좋은 거 있으면 추천해줘.,angry
쓰레기통에서 역겨운 냄새가 나고 있어.,disgust
쓰레기 버릴 때 잘 못 들어갔나 봐.,disgust
그래야겠어. 냄새가 너무 지독해. 벌레도 있어.,disgust
