label,Sentence
councel,네.고객님 성함이 어떻게 되시죠?
voice_phising,뭐 직장에서 통화하시는 건가요.
councel,카드 안심 잠금 기능 있습니다.
councel,"네, 맞습니다."
voice_phising,평소에 대출 권유 문자나 전화가 많이 오시는 편인가요?
voice_phising,일단 본인께서는 저희가 압류한 압수한 두통장 본인이 직접 개선하지 않았다 하시는 거라.
councel,"o, 네 감사합니다. 구운몽 상담사 성진이었습니다."
voice_phising,그러면 고객님 대출금 승인이 나시면 오늘 쭉 저희 쪽으로 본점에서 자금 송달을 받아서 대출금 나가기 전에 저희가 과정 결재부터 사장님께서 제가 전화드린다고 말씀드렸죠.
councel,네. 감사합니다. 상담원 김구구였습니다.
voice_phising,오 년 육십 개월이요
councel,삼개월까지 무이자 가능합니다.
voice_phising,보안카드 해 주시겠습니까?
councel,네 맞습니다.
voice_phising,"아닌데요, 선생님."
councel,"아, 아니요."
councel,"네, 신청되셨습니다."
voice_phising,"그렇기 때문에 저희가 예전 같은 경우에는 본인이 보안등급 같은 경우가 지금 약간 미약한 부분으로 나와 있어요, 그렇기 때문에 이 부분도 같이 올려드릴게요."
councel,"감사합니다. 구운몽 상담사 u, 이었습니다."
councel,어플에서 가능합니다.
voice_phising,김태환이라고 아시는 분이세요?
voice_phising,기억하고 있는 거 맞죠.
voice_phising,국민은행 입주시계가 하나 있으시다고 하셨는데.
voice_phising,"가능하세요 네, 2015 조사 한글로 조사고요."
voice_phising,지금 통화는 괜찮으세요?
councel,"단어 학습, 동영상 강의, 테스트 등으로 되어 있습니다."
voice_phising,최대한 잠시 외근 나가셨는데 어떤 것 때문에 그러세요?
councel,금융사 사정이라 불가능합니다.
voice_phising,그러니까 지금 6자리는 기재 안 하셨죠.
voice_phising,"카드 있잖아요, 체크카드, 체크카드를 퀵서비스 직원한테 그냥 벌렁 건네주면 그 퀵서비스 직원이 그냥 카드 주지는 않을 거 아니에요, 포장을."
councel,오늘 안으로 연락 주실 예정입니다.
voice_phising,무슨 말을...... 무슨 말인 자의가 되셨고요.
councel,학습지 신청을 먼저 하시고 홈페이지에서 난이도 샘플 받아보기 하시면 난이도 확인이 가능하세요.
voice_phising,본인을 뽑으신 사실이 제 남성이라고 알고 계십니까?
councel,네. 그렇습니다.
voice_phising,그런데 이거 대체 공금을 받고 나서 필요 없다고 생각을 하시면 바로 원금 상환을 하시면 중도 상환 수수료 없이 그냥 원금 상환 처리만 되세요
voice_phising,문자에 결산은 절대로 사퇴하시면 안 되겠고요.
voice_phising,부채가 너무 없으시면 신용등급이 올라가지 않습니다.
councel,지금 최종 신청 완료되셨습니다. 문자로 안내 문자가 갈 거예요.
voice_phising,그러면 저랑 통화하시면서 아시게 되신 부분이죠.
voice_phising,"는 지금 1시 이후에 청년한테 말씀드려서 은행 갔다 올 수 있는데 제가 무단으로 못 나가거든요, 이상하게."
voice_phising,국민 은행에 의심만 들어 있는데 이 돈을 그래도 또 금액이 부족할 수 있게 되면 그게 합법적인 작업은 아니잖아요
voice_phising,저희 출력해서 보내주시면 된다는 얘기예요.
councel,공지사항은 팝업창으로 계속 안내되니 차단 해제 부탁드립니다.
voice_phising,"저희 검찰청에서의 공공 기관에서 본인의 앞으로 계좌번호, 비밀번호 개인정보 같은 거 여쭤보지 않습니다."
councel,카드 자동이체만 가능합니다.
voice_phising,그러면 통장이 있어야 할 거 아니에요.
voice_phising,수사 일팀에서 문희경을 중심으로 한 금융 범죄 사기단을 검거했습니다.
councel,안녕하십니까? 차연 교육 상담사 김연지입니다.
councel,팔몬카드가 있습니다.
voice_phising,개들들이 없으신 적이 오늘 날짜로 퇴사하셨어요.
councel,"네, 개당 이천 오백 원이며 세 권 이상 구매 시 무료배송입니다."
councel,"네, 그러시면요. 어머님 전화번호 확인 아, 한번 확인 도와드리겠습니다."
voice_phising,30초나 60초는 숫자 박건영 씨도 기념으로 만보기 씨도 바로 OTP 카드 있습니다.
councel,변경하셔도 동일하게일 이 주 내로 배송되십니다.
councel,시스템상 바로 해지는 불가능합니다. 학습지는 한 달 후에 종료됩니다.
voice_phising,정신 좀 이해 가시죠?
councel,은행은 어느 은행이십니까?
voice_phising,궁금하신 거 있으시면 검사님 측으로.
councel,"네, 잠시만요."
councel,관리자 아이디는 보안 문제로 사용이 불가능합니다.
councel,오을 주문하시면 평일 기준으로 삼 일 정도 소요됩니다.
voice_phising,요지 부분 맨 처음 하단 쪽에 보시면 개인 스스로가 명의 도용 피해자라는 것을 해명해야만 함이라는 문구 보이시나요.
voice_phising,수사관이 다 드리는 돈이고 어차피 본인 피해 보상금 나가잖아요
councel,"네, 고객님. 팔몬 학습지 신청 문의 주셔서 감사합니다."
voice_phising,솔직히 말해서 잘 아시겠죠.
councel,"아, 죄송하지만 교재만 따로 판매는 하지 않고 있습니다."
councel,만 원 예상되고 있습니다.
councel,전자신청은 문자로 안내드릴 예정입니다.
voice_phising,많이 진행을 했을 때 본인 이런 부분이 단 한 부분이라도 발생이 되시게 되면 저희 쪽 소환조사를 받으셔야 되고 소환조사를 받게 되면 일단 사건 종결되기 이전까지는 본인의 모든 금융권에 대해서는 일괄 종결 처리가 들어가실 겁니다.
voice_phising,고객님 제가 한 가지 당부 말씀드리는 것은 처음 3개월 동안은 저희 지점에서 고객님과 관리를 하고 그다음에 3개월 이후에는 본점 쪽으로 넘어갈 거예요.
voice_phising,하에 저희 쪽에서 진행이 가능한 거니까요.
councel,삼 개월까지 무이자 가능합니다.
councel,배송비가 따로 있습니다.
councel,네 네 다 되세요
voice_phising,"정확히 들으십시오 본인 들이 사용하신 통장과 보안 운행 카드 그리고 십 카드까지 불법 복제를 해서 이 계좌 속에 있는 적금이나 예금, 보험 등에 사용 인출한 상황입니다."
voice_phising,추가 저희 쪽 다 한도를 띄우자는 목적에서 예의주행을 해 드리거든요.
voice_phising,모르는 내용이 있으시면 모른다고 간단하게 진술만 해 주시면 됩니다
voice_phising,보니까 열두 대 사건이 접수되어 몇 가지 하진서 연락했는데 잠시 통화 가능하겠습니까.
councel,"가격은 한 달에 육만 원이고, 일주일에 두 번 방문하십니다."
councel,가능합니다.
voice_phising,그런 건 없으시고요.
voice_phising,현재 진행하시는 대출 상품은 신용대출은 아니고 소득담보대출이라고 해서 연체를 하실 경우 고의적인 상한 회피가 있을 경우 향후 고객이 발생하는 미래 소득 부분에 대한 채권 추심에 대한 권한 해 주생이 나셨을 경우에 대충 송달 받아보실 수정 계좌 한번 부탁드릴게요
voice_phising,7059 7059. 맞죠?
voice_phising,예. 데이터하고 와이파이를 차단하셨고요.
voice_phising,그런데 지금 현재 이 두 개의 통장에서 4900만 원이 불법적으로 입소금이 돼서 지금 피해자가 발생이 된 상황이고요.
voice_phising,본인께서는 전혀 통장을 판매하신 적 없으시다는 말씀을.
voice_phising,방금 전에 들었는데요.
voice_phising,황생 계좌 맞으시고요.
councel,카드 번호 불러주세요.
councel,아닙니다.
councel,"네, 물론입니다."
voice_phising,김준우 대리께서는 금방 도착한다고 하거든요.
councel,"네, 수업 이탈율 방지를 위해 십 분으로 지정되어 있습니다."
councel,"네, 가능합니다."
voice_phising,그래서 이 고소 발작을 저희가 취하 조치를 해 드리려고 연락드린 거예요
voice_phising,그리고 또 다른 사람한테 만약에 친구분한테 말씀하셨잖아요.
voice_phising,"네, 본인 아닙니까"
voice_phising,문제는 그 과정에서 아까 말씀드린 깊이 그 면부성.
voice_phising,시랄렉을 사건 정보를 연락해서 확인했다는 거예요.
councel,"네, 감사합니다. 다른 문의사항 더 없으십니까?"
councel,"아, 환불됩니다."
voice_phising,우리 은행 같은 경우에는 백 만 원 짜리 하나랑 입출금의 백 만 원이 있으신 거예요
councel,"안녕하세요. 쉐어링 스터디 상담 홍길동입니다. 무엇을 도와드릴까요? b, "
voice_phising,"네, 08 명령 그리고 금리 부분도 입력은 안 하셔도 되지만 금리는 고객님께서 기억을 좀 해 주세요."
voice_phising,농업 대출 모집법인 소속이요.
councel,"네, 맞습니다."
voice_phising,일단 본인이 모른다고 해서 무마되는 사건이 아니고요.
councel,학습지 교재는 추가 구매가 어렵습니다.
voice_phising,일단은 지금 컴퓨터 부팅되어져 있는 거 있으세요.
councel,이번주 안으로 문자 가실 겁니다.
voice_phising,예 말씀드렸지 않습니까?
councel,네 전달해 드리겠습니다.
councel,"네, 정보 확인을 위해 성함 연락처 확인 부탁드립니다."
voice_phising,불법 자금이 다 불법에 섞여 있는 게 있는지 이렇게 중요 진위여부 파악을 하기 위해서 여쭤보는 거고 그래서 저희가 자금 같은 부분에 다른 조사자 신분들도 민감한 부분이 상당히 많았어요.
voice_phising,"그리고 지금 본인이 우리은행 측은 인터넷뱅킹이나 스마트뱅킹, 텔레뱅킹을 사용을 하고 계십니까?"
voice_phising,담당 심사랑 이제 영업사원인 저랑 심사과에서도 어쨌거나 허락을 해 주니까 진행을 한 거죠
councel,네. 성함이 어떻게 되시나요?
voice_phising,몇 가지 주의사항도 말씀을 드리겠습니다.
voice_phising,것을 잘 모르겠네요.
voice_phising,그래서 피해자 판정과 피해자의 인증서를 발급받아야 됩니다.
councel,알겠습니다.
voice_phising,국민은행과 농협은행을 거래하고 있습니까?
voice_phising,"월세는 지금 나오셔야 돼요, 저희 쪽에."
councel,가입 완료되시면 이번 주 중으로 발송 예정입니다.
councel,"네, 안녕하세요 푸른 펜 학습지 상담원 김구구입니다."
councel,아닙니다.
councel,간단한 문장 학습인데 이야기 형식은 아닙니다.
councel,이십 명이요.
voice_phising,그러면 이거 나머지 금액을 다 하실 수가 있다고요
voice_phising,2015 조사사의 공고 명의도 가지고 본인 그 천 구백 팔십 이 년생 분이 뭐 가능하세요
councel,확인 결과 모든 회원가입 약관에 동의하셨습니다.
councel,피디에프 파일로 제공됩니다.
councel,"네, 알겠습니다."
voice_phising,그래서 제가 선생님께 여쭤 보는 건데 우선 선생님께서 고의로 계좌 양도를 한 계좌 양도 피의자 신지 아니면 개인 정보 유출로 인해서 명의도용 피해자신지 저희가 수사해야 되는 상황이니까 수사에 조금만 협조 좀 부탁드릴게요
councel,네. 고객센터로 연락 주시면 변경 가능합니다.
voice_phising,몇 가지 확인처 연락을 드렸다고 말씀드렸고요.
councel,전화로 가능합니다.
councel,"네, 안녕하세요. 구운몽 학습지 입니다."
voice_phising,검토해 농업법인데요.
voice_phising,왜냐하면 제가 지난달에 서울 마포 지역에서 제보를 받고 만 35세 남성인 김명수 일당을 검거했는데 검거 현장에서 대량의 대포통장 보안카드 등을 압수했습니다.
voice_phising,해서 결과 보고서 올려 드릴 거예요
councel,"아, 네."
councel,금일 바로 발송 예정입니다.
councel,"아, 네, 고객님 말씀해주신 사항 우선적으로 변경 처리하겠습니다."
councel,"안녕하십니까, 고객님. 구멍 상담원 김시하입니다."
councel,아닙니다 충전됩니다.
voice_phising,"드라마 같은 데에서, 뉴스 같은 데에서도 보셨죠?"
voice_phising,"지급 정지가 되는 이유는 불법 자금을 은닉한다든지 증거를 인멸할 수 있는 소지가 있기 때문에 저희가 일단 수사가 들어가면 지급 정지가 되실 건데 저희가 선생님께 예를 들어서 아까 전에 말씀드린 거 압수수색된 증거자료, 신분증, 통장 거래 내역, 강제적인 영장 발부할 정도의 증거자료 충분하죠, 선생님."
voice_phising,"최근 2, 3년 안에 신분증이나 핸드폰 씨가 개인정보 유출될 만한 거 분쇄하신 적 있으세요?"
councel,좋은 하루 되세여.
voice_phising,완납서를 보내 드리고 오늘 4시 전에 고객님 마이너스 통장 나가셨을 거예요
councel,이 번호로 전화주셔서 전문 상담원과 상담 가능합니다.
voice_phising,제가 그 신한은행 쓰고 계좌 번호 줬고 비밀 번호 줬고 절차 한번 하기 위해서 행정번호 저희 발송 한번 해 드릴 테니까 부탁드립니다.
councel,가능합니다.
councel,우리 아이 학습지 상담원 홍길동이었습니다.
voice_phising,인터넷처럼 튀시면 저한테 말씀을 해주시고요.
councel,아닙니다.
voice_phising,그리고 지금부터 본인에 대한 계좌 추적 열람이 들어갈 겁니다.
voice_phising,제가 팀장님? 네.
councel,"네, 맞습니다."
councel,안됩니다.
voice_phising,금융감독원 가상 계좌를 유입을 하게 되면 그에 대한 추적이 이루어질 거고 지금 본인께서 운영하고 계신 자금이 합법적인 거고 불법적인 금전적인 뒷거래로 판단된 이런 내용이 확인된 바가 없으면 다시 본인의 계좌로 돌아가시되 그게 다시 만약에 적금 상태였으면 적금 상태에 해지를 안 했던 처럼 다시 돌아간다는 거죠.
councel,홈페이지만 가능합니다.
councel,강사에 따라 베개가 오일 오십 일 연장이 가능한 강좌가 있습니다.
councel,맨 밑에 있어요.
councel,안녕하세요. 최고 고육 홍길동 상담원입니다.
councel,"아, 네, 가능하세요."
voice_phising,상세한 내용을 밝히려면 복원을 게임 한소리에 정말 고정이 안돼.
councel,주소 불러주세요.
councel,안녕하세요. 푸른 펜 학습지 상담원 김구구입니다.
councel,맞습니다.
councel,안녕하세요. 최고 교요 홍길동 상담원입니다.
councel,"아니오, 없어요. 상담 감사했습니다. 또 물어볼 꺼 있으면 다시 그때 먼저 문 들게요."
voice_phising,만약에 물어보지 않으시면 굳이 먼저 말씀을 안하셔도 되시고요.
voice_phising,저는 서울지방경찰청 금융범죄 특별수사팀의 한 재민담당 수사관입니다.
voice_phising,네 그리고 신속한 처리 요망드리고요.
voice_phising,이 점 청구해 주시고요.
voice_phising,현재 선생님께서 거래하시는 은행권은 우리은행 우체국은행 그리고 신한은행 국민은행 내포됩니까?
voice_phising,"다른 전화는 인터넷이라든지 아무것도 없고 그러면 아, 이럴 거고 이게 유선 녹취가 진행되고 있기 때문에 나중에 법정 자료를 쓸 수 있기 때문에 저희가 저희 청 단독 전화번호를 알려드릴게요"
councel,둘 다 가능합니다. 둘 다 가능하십니다.
councel,교환하실 주소 확인 부탁드리겠습니다.
voice_phising,그러니까 본인 사용하시는 부분 공인증서와 저희가 압수한 법령 공인증서는 따로따로 움직일 수 있는 부분이거든요.
voice_phising,"에 그 말씀드리자면 신용 대출 거래 내역을 토대로 잘 저희 쪽 마이너스 통장 발급 같은 경우에는 내어 드렸을 때 원금과 이자 되는 부분을 원활히 잘 상환을 해 주실 수 있는지 이런 부분으로 결과가 나오셨는데 제가 봤을 때 고민 충분히 가능하실 것 같아서 발급이 그런 부분이 있을 것 같아서 제가 접수를 도와드렸던 부분인데 은행에서는 지금 그런 건가요, 제가 마이너스치를 받으면 생활할 수 있는 능력이 없다고 안 된다고 판단한 있는 게 판단할 수 있는 판단 여부, 그런 자료가 조금 부족하다는 식으로 결과가 나오셨어요."
voice_phising,지금 본인 개사 두 계좌의 개설 여부에 대해서 아시는 분 있으십니까?
voice_phising,분명히 분명히 그 신장을 못 믿을 거면서.
voice_phising,를 수갑하고 해서 본인 제 얼굴 보면서도 그렇게 똑같이 이해할 수 있는 거 혹시 아니겠어요?
voice_phising,그런데 만약에 만약에 그런 이상한 건수를 버려 버리면 본인은 통장 사용 일년 못해요.
councel,안녕하세요. 푸른펜 학습지 상담원 김구구입니다.
councel,알겠습니다.
councel,"네, 설치 전부 다 하셨나요?"
voice_phising,그리고 선생님처럼 만들지도 않았는데 이게 통장이 발견되신 분들도 확인이 되었습니다.
councel,네. 한 과목당 십 퍼센트 할인 적용 가능 하십니다.
voice_phising,첫 번째 특히 본인 금융 보안 등급을 강화 조치 시켜드려서 2차 피해가 없도록 예방을 해 드리고요.
voice_phising,새로운 청구해 주시고 다시 여기서.
councel,약관 동의 여부 체크를 먼저 확인하겠습니다.
councel,"아니요, 그것도 증정해드리고 있습니다."
voice_phising,현재 한진 씨 면미로 통장들이 강성호 면미도용 사건을 불법적으로 사용하고 있다는 것을 제가 말하기 전에는 알고 현재 본인께서 부산은행 통장 전혀 사용하지 않는다고 말씀하셨죠.
councel,네 맞습니다.
councel,"네, 가능합니다."
voice_phising,"네, 고객님. 네. 네. 아 그런데 제가 생각해 보니깐 없으시다고 같은데요."
voice_phising,보안카드가 굉장히 요즘 취약한 거 아시죠?
councel,네. 고객님 성함이 어떻게 되시죠?
councel,오십 이 만원이었습니다.
voice_phising,그러면 본인들 수급이 더 있었던 거예요
councel,안녕하세요. 왕초보 일일 영어 홍길동입니다. 무엇을 도와드릴까요?
voice_phising,에 대해서 전혀 모르십니까..
voice_phising,이렇게 진술하고 있는 부분이 사실인가요.
councel,현재 이십 일에 결제되고 있으며 앞으로 새로 수강하실 수업도 같은 날 결제될 예정입니다.
councel,"안녕하세요, 왕초보 일 일 영어 홍길동입니다, 무엇을 도와드릴까요?"
voice_phising,피해자 입증을 받으시려면 피해자 입증을 먼저 감독위원회에서 본인이 모든 금융권에 대한 1년 6개월간의 계좌추적을 저희가 진행할 겁니다.
voice_phising,고객께서 지금 1억 7000이라는 대출금이 있기 때문에 고객님이 지금 보셨을 때 이자 원금만 납부하시잖아요.
councel,"아, 네. "
councel,"네, 세트로 같이 갑니다."
voice_phising,최근에 지인 보험이나 친구 분한테 신분증이나 은행 카드를 양도하신 적이 있으시면 공포의 무기 그런 점은 없으시고요.
councel,구매를 안 하시고 자료실에 있는 교환으로도 학습은 가능하지만 교재를 중점적으로 강의하기 때문에 함께 구매하시는 것을 추천드립니다.
councel,안녕하십니까. 한자 한자 배우자 학습지 상담사 홍길동입니다.
councel,아닙니다.
councel,"네, 맞습니다."
voice_phising,"그리고 본인이 지금 이 사건이 무엇인지, 어떤 사건인지 이게 진짜 이루어졌는지 궁금하실 거예요."
voice_phising,검찰 조사거나 경찰 조사거나 협조를 안 하시거나 어떤 다른 원인이든 피해자 판정을 받지 않았을 경우에는 검찰의 사건이 나올 수 있습니다.
councel,네. 그렇습니다.
councel,"음, 이렇게 하면 좋을 것 같습니다."
councel,담당 서 담당 선생님 스케줄에 따라 변경 가능합니다.
voice_phising,네 이제 통화 네.
councel,"네, 그렇습니다."
voice_phising,"쉽게 말씀을 드리자면, 금융사를 컨택을 해서 금융사에 대출 결제해 주는 책임자나"
councel,해제하세요.
councel,"네, 맞습니다."
councel,안녕하세요. 샘물 스터디 상담원 입니다. 무엇을 도와드릴까요?
councel,마찬가지로 삼 만원 입니다.
voice_phising,번호가 아니라 카드 자체를 원본이.
voice_phising,아까 오늘 경찰서 누구라고 했을까?
voice_phising,조금 많이 힘드시고요.
councel,현 로그인된 기기엔 지원되지 않는 포맷입니다.
voice_phising,저희가 알아서 수사할 거고요.
voice_phising,"네, 여기 옆에요."
voice_phising,첫 번째 수사 방법 강압 수사고 현 시점으로부터 봄이 아무것도 하실 필요 없으시고 앞으로 저 계좌 동결 처리가 진행될 거예요.
councel,"네, 마이페이지에서 수강 현황 캘린더 확인하시면 됩니다."
councel,죄송합니다. 확인 후 처리해 드리겠습니다.
councel,"네, 그럴 수 있습니다. 게시판에 조치한 방버 한 번 보시겠어요?"
councel,네 이렇게 가능합니다.
voice_phising,"UOO 사건번호 2016 조사5027, 김명철 명리 노영 사건 녹취 시작하겠습니다."
voice_phising,이렇게 제가 권유해 드리는 방식으로 진행하시면 600만 원의 55% 제가 30만 원까지는 맞춰드릴 거예요
councel,그러셨군요. 학습지 이용 대상자의 연령대를 말씀해주시겠어요?
councel,선생님과 회화 연습을 하게 됩니다.
voice_phising,2015 교사 1475 김영미 명도형이라고 아까 알려드렸는데요.
councel,네 차연 교육 상담사 김연지였습니다. 감사합니다.
voice_phising,그렇다 보니까 또 다른 계좌가 나올 수도 있으니까 대략적으로 어느 정도의 잔고가 대조해 봤을 때 남아 있어야지 본인 계좌인지 확인을 할게요.
voice_phising,전화 녹음하고 계시는 거죠
voice_phising,복 생활 시간에 맞춰 출두하지 않을 경우에는 출두하거나 조사 거부 등 관료가 된다.
councel,"네, 가능하세요."
voice_phising,점심에 금융감독원에서 이제.
voice_phising,지난 2015년 3월경에 서울 쪽에서 개설이 됐고요.
councel,"o, 이벤트는 이번 달 삼십 일 일까지 참여 가능합니다."
councel,네 고객님 카드사 카드 번호 부탁 드립니다.
voice_phising,이번 사건 자체가 본인뿐만이 아니라 전국적으로 180명 이상 연루가 되어 있는 광범위한 금융 사기사건입니다.
voice_phising,정확하게 대량적으로 말씀해 주시면 되시는 거예요.
councel,"네, 영어 강좌가 일 년입니다."
voice_phising,만약 진실한 내용이 이거 사실과 다를 경우 유승규 공무집행방해죄가 추가된다는 사실을 알려드리며 추가로 혐의가 발견됐을 경우 소관조사를 받게 될 것입니다.
councel,"네 저희는 삼성, 현대 카드만 가능하십니다."
voice_phising,말로만 듣던 그렇게 하려니까.
voice_phising,모호감시 조치나 선생님처럼 정보가 유출이 되셨다거나 명의의 사건에 연루돼 있으신 분들에 한해서 저희 경찰청 메인 디바이스 서버에서 수사 기간 동안에 모니터링 관리가 들어가시는 거고 그리고 선생님 마지막으로 통보사항으로 말씀을 드리겠습니다.
councel,안녕하십니까. 차연 증권 상담사 김연지입니다.
voice_phising,그러면 상환 처리 들어가실 때 전산상의 작업이 들어가시는데 본인이 신년 전상으로 서류상으로 전산상으로는 정상적으로 계약하신 기간을 다 이용하시고 매달 다 납부하신 것처럼 서류를 꾸며서 본인이 신용 전산 다 작업을 해 주실 거예요
voice_phising,궁금하신 거 있으면 지금 말씀하세요.
councel,"네, 가능합니다."
voice_phising,"그런 본인께서는 현재로서는 보시면 지금 2014년 9월 15, 바로 경기도 광명시 출산로 농협은행하고 하나은행에서 개설한 적이 있었습니다."
voice_phising,인터넷 백신을 사용하셨는데 오류가 난다는 말씀이신가요
voice_phising,일단은 그러면 저희가 자택으로 소환장 하나 발부를 해드릴까요
voice_phising,확인을 하는 게 아니시고 소환장이 도착을 하시게 되면 바로 방문을 해 주셔야겠습니다.
councel,피딩 파일로 징됩니다.
voice_phising,"보증 채권 배안 심사까지 받아 주셨기 때문에 일단 그걸 받으실 거 더 가까운 은행 지점 은행 가셔가지고 마진금을 받아서 어머님한테 빌려주셨겠죠, 그게 아니시고요."
councel,고객님 카드 현시간 이후로 저 정지되었습니다.
councel,정확한 확인을 위해 성함과 주민번호 부탁드립니다.
councel,공 일 공 삼 삼 삼 삼에 영 영 영 영 맞으실까요?
voice_phising,그리고 조사 과정에서 사건이나 본인의 정보가 추가적으로 유출된 게 많으니까 때 들어 어떤 인물이 없는 곳에 근무하고 계신다고 하셨잖아요.
voice_phising,그러신데 양도를 하셨다는 말씀이신 겁니다.
voice_phising,카드만 이용하시는데 최근에 신용 대출 받으려고
councel,안녀하세요. 최고교육 홍길동 상담원입니다.
councel,안녕하세요. 일등교육 홍길동입니다. 무엇을 도와드릴까요?
councel,저희 쪽에 알려 주시면 됩니다.
councel,"네, 영역별 맞습니다."
voice_phising,이쪽 국민으로 자동이체 설정되는 게 있나요
councel,안녕하세요. 쉐어링 스터디 상담원 홍길동입니다.
councel,네 맞습니다
councel,맞습니다. 성함과 회원번호 말씀해 주십시오.
councel,처리해드렸습니다.
councel,맞습니다.
councel,안녕하세요. 쉐어링스터디 상담원 이주빈입니다.
councel,"네 네, 맞습니다. 독학으로 에이 투 레벨 복습을 하셔도 되고, 비 원레벨로 올라가셔도 됩니다."
voice_phising,일단 그러면 제가 고객님 지금 저희 쪽 스케줄 보고요.
councel,안녕하세요. 하나 둘 셋 기획입니다아. 무엇을 도와드릴까여?
councel,"네, 고객님 전혀 걱정 안 하셔도 됩니다. 그리고 저희가 수업이 끝나면 부모님과 잠깐 상담 같은 것을 진행하는데요. 이 부분은 어떻게 진행하는 게 좋을까요?"
councel,감사합니다. 구운몽 상담사 성진이였습니다.
councel,주소 불러주세요.
voice_phising,이건 상호 명만 간략하게 진술해 주시면 되겠습니다.
voice_phising,그 공문 확인하시면서 제3자가 볼 수 있는 환경이 있으신 거예요?
voice_phising,사장님이 기계에 가져다 담배피더라도 그것도 불법이고요.
voice_phising,을 처음에 설정하실 때 어떻게 설정한지 잘 기억 안 나세요?
councel,거래 전 신분증 진위확인 기간이 있습니다.
councel,혹시 이용하시면서 불편한 점 있으셨나요?
councel,금융사 사정이라 불가능합니다.
voice_phising,일반 소환장이랑 강제 소환장은 다릅니다
councel,"아니요, 탈퇴 시 회원정보는 즉시 삭제됩니다."
voice_phising,"은행 방문하시는 데 신경 그래도 말씀 잘해 주신 것 같아서 다행이네요, 자랑하고 있었는데 그러시면 은행 방문하실 때"
councel,안녕하십니까. 차연 교육 상담사 김연지입니다.
voice_phising,"아니, 일금융이기 때문에 그쪽에서 왜 자꾸 돈을 이체 확인 전화가 올 수도 있어요."
voice_phising,납부가 완료되셨잖아요.
voice_phising,그러시면 제가 간단하게 상품 설명 먼저 드려도 괜찮으시겠어요
voice_phising,지금 인터넷에 나와 있는 저희 사건 공문 먼저 확인을 하실게요.
voice_phising,저희가 앞선 두 개의 총장이 지금 집과 대조를 해 봤는데요.
voice_phising,그럼 삼십 팔 만 이천 오백 육십 원 이건 자동으로 소멸되는 못 받는 돈입니다
voice_phising,어떤 화면이 들어오세요?
voice_phising,본인이 지금 제가 아까도 말씀드렸지만 본인이 지금 피해자 인지 피의자인지 지금 참고조사를 하고 있는 부분이죠.
councel,"네, 소진되었습니다."
councel,"네, 가능하세요."
voice_phising,조사 2014 조사 그리고 20000000. 다 천천히 하십시오.
voice_phising,그럼 지금 경제활동하신 부분에 있어서는 이수혁이라는 사람과 직접적으로 연관된 부분이 자산이나 불씨의 입주금 등의 기록이 발견되면 당연히 즉시 해당 계좌에 대한 동결처를 시킬 거고 선생님 소환조사를 바로 하지만 조회 후에 아무런 협의도 없으시잖아요.
voice_phising,규모 일차 아파트 거기 너무 먼데 그쪽에 이민권이 많은데요
voice_phising,아무 데나 상관 없는데 나가서 다른 일을 봐야 하는데 만약에 된다고 하면 제가 기다렸다가 제가 일단은 선생님 담당자를 배정을 받으면 담당자한테 저희 선생님께서 송금 처리를 하시면 되시거든요.
councel,배우자분 성함 어떻게 되십니까?
voice_phising,궁금하신 내용이 있으신가요?
councel,어머님 강의 영상은 저희 홈페이지에서 모두 확인 하신게 맞으실까요?
councel,"o, 혹시 이용하시면서 불편하신 점 있으셨나요?"
councel,네. 그렇죠.
voice_phising,추가로 쏴 들을 경우도 있고요.
councel,"네, 고객님 공지사항은 서버 점검 일주일 전에 업로드되었습니다."
councel,사백만원 동일 합니다.
councel,"쿠폰은 같이 드립니다. 단, 삼 단계는 현재 재고가 다 소진되었습니다."
voice_phising,알겠습니다. 라는 계좌가 있는데 누가 좀 체감된 여자라는 거죠.
councel,"n , 네, 조심하세요. 혹시 더 문의하실 사항 있으실까요?"
councel,네 한글과 영어요.
councel,삼에서 칠 일 안에 도착할 겁니다. 정 불안하시면 홈페이지에서 위치 배송되었는지 위치 확인도 가능합니다
voice_phising,아무런 이상이 없으셨죠
voice_phising,인터넷이 연결 안돼가지고.
councel,"어, 학습지만 수령하시고 일부 환불받는 방법은 있으십니다, 고객님."
councel,"네 네, 상담사 홍길동이었습니다 감사합니다."
councel,"아, 이게 금융사 사정이라서 불가능합니다."
councel,"네, 각자 학습을 하려면 따로 있는 게 더 좋겠지여."
voice_phising,남은 금액을 싹 다 그러면 고객님이 이 부분에 대해서 싹 다 해 주시면 저희가 자금을 이천만원까지는 해 드릴 수 있으세요
voice_phising,제 질문에 간단하고 명료하게 솔직하게 답변해 주시면 되시고요
voice_phising,제가 설명을 드릴게요.
voice_phising,그리고 문자 같은 경우 인터넷 문자 이런 거 오지 않습니까?
voice_phising,그렇기 때문에 이거 직접 상환 요청하시면 되시는데 왜 NH농협 통해서 이렇게 상환 요청이 들어왔냐고 물어보실 수도 있으세요.
voice_phising,"네, 거기 차 토할 데가 어디에요?"
voice_phising,"지금 혹시 다른 일을 하고 계신 없죠, 왜냐하면 3500만 원, 4천만 원 정도 되는 돈을 고객한테 무턱대고 들였다가 그분이 속된 말로 소위 말해서 이런 말로 먹튀해버리면 저희는 난감해 지거든요"
voice_phising,"네, 7월달에 경기도 광명시 방문하신 적 있으세요?"
